ID,Last Name,First Name,Middle Name,Age,Sex,Date of Birth,Civil Status,House No.,Street / Purok,Address (Barangay),Role in HH,Education,Occupation,IP Status,PWD,4Ps Beneficiary,Registered Voter,Monthly Income
86,Robredo,Aika,G.,28,F,1996-01-15,Single,144,Sitio Kawayan,Brgy. San Isidro,Daughter,College Grad,Researcher,No,No,No,Yes,25000
87,Moreno,Isko,D.,47,M,1977-10-24,Married,145,Purok 5 Orchids,Brgy. San Isidro,Head,High School,Garbage Collector,No,No,Yes,Yes,8000
88,Moreno,Dynee,D.,45,F,1979-05-18,Married,145,Purok 5 Orchids,Brgy. San Isidro,Spouse,High School,Street Sweeper,No,No,Yes,Yes,6000
89,Pacquiao,Manny,D.,45,M,1978-12-17,Married,146,Subd. Maharlika,Brgy. San Isidro,Head,Vocational,Baker,No,No,No,Yes,15000
90,Pacquiao,Jinkee,J.,44,F,1980-01-12,Married,146,Subd. Maharlika,Brgy. San Isidro,Spouse,High School,Housewife,No,No,No,Yes,0
91,Lacson,Ping,M.,71,M,1953-06-01,Married,147,Purok 2 Gumamela,Brgy. San Isidro,Head,College Grad,Retired Police,No,No,No,Yes,35000
92,Sotto,Tito,V.,74,M,1950-02-14,Married,148,Purok 3 Ilang-ilang,Brgy. San Isidro,Head,High School,Musician,No,No,No,Yes,15000
93,Sotto,Helen,G.,70,F,1954-05-20,Married,148,Purok 3 Ilang-ilang,Brgy. San Isidro,Spouse,High School,Housewife,No,No,No,Yes,0
94,Poe,Grace,S.,50,F,1974-09-03,Married,149,Purok 4 Narra,Brgy. San Isidro,Head,College Grad,Teacher,No,No,No,Yes,28000
95,Escudero,Chiz,L.,52,M,1972-10-10,Married,150,Subd. Maharlika,Brgy. San Isidro,Head,College Grad,Lawyer,No,No,No,Yes,90000
96,Escudero,Heart,O.,38,F,1986-02-14,Married,150,Subd. Maharlika,Brgy. San Isidro,Spouse,College Grad,Artist,No,No,No,Yes,50000
97,Binay,Jojo,T.,78,M,1946-11-11,Widower,151,Purok 1 Acacia,Brgy. San Isidro,Head,College Grad,Lawyer,No,No,No,Yes,0
98,Binay,Nancy,S.,48,F,1976-05-12,Single,151,Purok 1 Acacia,Brgy. San Isidro,Daughter,College Grad,Accountant,No,No,No,Yes,35000
99,Gordon,Dick,J.,76,M,1948-08-05,Married,152,Sitio Kawayan,Brgy. San Isidro,Head,College Grad,Volunteer Worker,No,No,No,Yes,0
100,Zubiri,Migz,F.,53,M,1971-04-13,Married,153,Purok 5 Orchids,Brgy. San Isidro,Head,College Grad,Businessman,No,No,No,Yes,100000
